amfi_code,scheme_name,sector_hhi
119092,Axis Bluechip Fund - Regular - Growth,2967.6908999999996
148569,Mirae Asset Tax Saver Fund - Regular - Growth,2549.9193999999998
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,2531.5500000000006
102887,UTI Flexi Cap Fund - Regular - Growth,2513.8255
149323,DSP Midcap Fund - Regular - Growth,2410.7663999999995
120505,ICICI Pru Midcap Fund - Regular - Growth,2386.9504
118635,Nippon India ETF Nifty 50 BeES,2374.9677
119599,SBI Small Cap Fund - Direct Plan - Growth,2323.612
120506,ICICI Pru Value Discovery Fund - Regular - Growth,2314.6433999999995
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,2276.4744
119552,SBI Bluechip Fund - Direct Plan - Growth,2275.0834999999997
101207,ABSL Small Cap Fund - Regular - Growth,2227.2651
120504,ICICI Pru Bluechip Fund - Direct - Growth,2212.1303
118633,Nippon India Large Cap Fund - Direct - Growth,2212.0031999999997
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,2180.8585
120841,Kotak Bluechip Fund - Regular - Growth,2158.9314999999997
118632,Nippon India Large Cap Fund - Regular - Growth,2072.5894000000003
148567,Mirae Asset Large Cap Fund - Regular - Growth,2012.4815
149324,DSP Small Cap Fund - Regular - Growth,1887.0081999999998
119598,SBI Small Cap Fund - Regular Plan - Growth,1880.8485000000003
119093,Axis Bluechip Fund - Direct - Growth,1842.3320000000003
149322,DSP Top 100 Equity Fund - Regular - Growth,1826.9533
120503,ICICI Pru Bluechip Fund - Regular - Growth,1821.6750000000002
102885,UTI Nifty 50 Index Fund - Regular - Growth,1807.1201999999998
100016,HDFC Top 100 Fund - Regular Plan - Growth,1805.8807999999997
101206,ABSL Frontline Equity Fund - Regular - Growth,1800.4224999999997
119094,Axis Midcap Fund - Regular - Growth,1751.0024999999998
125497,HDFC Top 100 Fund - Direct Plan - Growth,1724.1088
120842,Kotak Emerging Equity Fund - Regular - Growth,1620.6189
118634,Nippon India Small Cap Fund - Regular - Growth,1602.9924
119095,Axis Small Cap Fund - Regular - Growth,1595.8229000000001
119551,SBI Bluechip Fund - Regular Plan - Growth,1424.9103999999998
120843,Kotak Flexicap Fund - Regular - Growth,1362.0616
102886,UTI Mid Cap Fund - Regular - Growth,1240.2024000000001
